Date,Gated_Station_Entries,Day_of_Week,Season,Pressure,Wind_Speed,Average_Temperature,Precipitation,Is_Monday,Is_Tuesday,Is_Wednesday,Is_Thursday,Is_Friday,Is_Saturday,Is_Sunday,Is_Winter,Is_Spring,Is_Summer,Is_Autumn,S_Day_of_Week,S_Season,S_Pressure,S_Wind_Speed,S_Average_Temperature,S_Precipitation,S_Is_Monday,S_Is_Tuesday,S_Is_Wednesday,S_Is_Thursday,S_Is_Friday,S_Is_Saturday,S_Is_Sunday,S_Is_Winter,S_Is_Spring,S_Is_Summer,S_Is_Autumn
2014-01-01,147900.0,2,0,1026.8,15.1,-4.4,0.0,False,False,True,False,False,False,False,True,False,False,False,-0.5003402807488395,-1.3375467240212917,1.3332435845796218,-0.4168356088355851,-1.644357710287111,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-02,356597.0,3,0,1021.2,28.1,-6.4,9.7,False,False,False,True,False,False,False,True,False,False,False,-0.0003402518060174929,-1.3375467240212917,0.622675396617923,1.7267573311317344,-1.8520119088177704,0.8665336333121898,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-03,208988.0,4,0,1016.0,27.4,-14.2,4.8,False,False,False,False,True,False,False,True,False,False,False,0.49965977713680454,-1.3375467240212917,-0.03713792077509944,1.6113330959027243,-2.6618632830873423,0.22875471094056413,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-04,238852.0,5,0,1028.9,19.8,-12.0,0.0,False,False,False,False,False,True,False,True,False,False,False,0.9996598060796266,-1.3375467240212917,1.5997066550652805,0.3581556848449074,-2.4334436647036175,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-05,173981.0,6,0,1023.8,13.0,-1.7,1.0,False,False,False,False,False,False,True,True,False,False,False,1.4996598350224486,-1.3375467240212917,0.9525820553144199,-0.7631083145226135,-1.3640245422707205,-0.265849351306819,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-06,469542.0,0,0,999.7,22.3,6.8,8.1,True,False,False,False,False,False,False,True,False,False,False,-1.5003403386344836,-1.3375467240212917,-2.1053988964493575,0.7703850963770842,-0.4814941985154175,0.6582792913132917,2.449003684688744,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-07,460781.0,1,0,1012.2,31.7,-6.3,0.0,False,True,False,False,False,False,False,True,False,False,False,-1.0003403096916617,-1.3375467240212917,-0.5193091911776828,2.3203676837380685,-1.8416291988912374,-0.39600831505613043,-0.40832931622440355,2.452411019602794,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-08,462618.0,2,0,1029.0,20.5,-10.6,0.0,False,False,True,False,False,False,False,True,False,False,False,-0.5003402807488395,-1.3375467240212917,1.6123953727074423,0.4735799200739168,-2.2880857257321554,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-09,489551.0,3,0,1034.7,13.7,-5.2,0.0,False,False,False,True,False,False,False,True,False,False,False,-0.0003402518060174929,-1.3375467240212917,2.335652278311332,-0.6476840792936042,-1.7274193896993748,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-10,496811.0,4,0,1031.4,7.9,-3.8,0.5,False,False,False,False,True,False,False,True,False,False,False,0.49965977713680454,-1.3375467240212917,1.9169245961196153,-1.604056314048254,-1.582061450727913,-0.33092883318147476,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-11,240375.0,5,0,1008.8,18.4,6.2,13.7,False,False,False,False,False,True,False,True,False,False,False,0.9996598060796266,-1.3375467240212917,-0.9507255910115898,0.12730721438688805,-0.5437904580746153,1.3871694883094352,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-12,183782.0,6,0,1002.2,25.9,8.8,0.0,False,False,False,False,False,False,True,True,False,False,False,1.4996598350224486,-1.3375467240212917,-1.7881809553950225,1.3639954489834183,-0.2738399999847579,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,2.449003684688744,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-13,490292.0,0,0,1017.0,18.4,4.6,0.0,True,False,False,False,False,False,False,True,False,False,False,-1.5003403386344836,-1.3375467240212917,0.08974925564663454,0.12730721438688805,-0.709913816899143,-0.39600831505613043,2.449003684688744,-0.4077619909577661,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-14,494338.0,1,0,1008.2,12.6,8.3,20.1,False,True,False,False,False,False,False,True,False,False,False,-1.0003403096916617,-1.3375467240212917,-1.0268578968646187,-0.8290650203677619,-0.32575354961742276,2.220186856305028,-0.40832931622440355,2.452411019602794,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
2014-01-15,509786.0,2,0,1013.6,10.4,6.1,0.0,False,False,True,False,False,False,False,True,False,False,False,-0.5003402807488395,-1.3375467240212917,-0.34166714418725813,-1.1918269025160773,-0.5541731680011484,-0.39600831505613043,-0.40832931622440355,-0.4077619909577661,2.449003684688744,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,-0.40832931622440355,1.7253973282870476,-0.5780050842681705,-0.5780050842681705,-0.5738142356407439
