,Total_Delays,Day_of_Week,Season,Pressure,Wind_Speed,Average_Temperature,Precipitation,Is_Monday,Is_Tuesday,Is_Wednesday,Is_Thursday,Is_Friday,Is_Saturday,Is_Sunday,Is_Winter,Is_Spring,Is_Summer,Is_Autumn,S_Day_of_Week,S_Season,S_Pressure,S_Wind_Speed,S_Average_Temperature,S_Precipitation,S_Is_Monday,S_Is_Tuesday,S_Is_Wednesday,S_Is_Thursday,S_Is_Friday,S_Is_Saturday,S_Is_Sunday,S_Is_Winter,S_Is_Spring,S_Is_Summer,S_Is_Autumn
2019-01-01,39.0,1,0,1006.7,25.6,8.4,9.7,False,True,False,False,False,False,False,True,False,False,False,-0.9991456640900893,-1.2582982229103106,-1.1993696521031698,1.3097248216730506,-0.3000234454019794,0.8207349307232047,-0.40804472610791886,2.4421887138969653,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-02,88.0,2,0,1024.8,15.1,0.8,0.0,False,False,True,False,False,False,False,True,False,False,False,-0.49914548146160154,-1.2582982229103106,1.0706525236771933,-0.41789016686533814,-1.0964555069341768,-0.40869377837987336,-0.40804472610791886,-0.40946876640188634,2.450711738240974,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-03,127.0,3,0,1013.4,16.9,3.1,0.5,False,False,False,True,False,False,False,True,False,False,False,0.0008547011668863009,-1.2582982229103106,-0.3590852002949734,-0.12172759740161458,-0.8554300146283803,-0.34532116450858064,-0.40804472610791886,-0.40946876640188634,-0.40804472610791886,2.450711738240974,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-04,101.0,4,0,1012.1,18.0,4.6,0.0,False,False,False,False,True,False,False,True,False,False,False,0.5008548837953741,-1.2582982229103106,-0.5221254670637239,0.05926063949288348,-0.6982394761680782,-0.40869377837987336,-0.40804472610791886,-0.40946876640188634,-0.40804472610791886,-0.40804472610791886,2.450711738240974,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-05,53.0,5,0,1002.7,14.8,5.0,13.5,False,False,False,False,False,True,False,True,False,False,False,1.000855066423862,-1.2582982229103106,-1.7010320113916504,-0.4672505951092919,-0.656321999245331,1.3023667961450294,-0.40804472610791886,-0.40946876640188634,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,2.450711738240974,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-06,67.0,6,0,1009.8,23.0,4.2,0.0,False,False,False,False,False,False,True,True,False,False,False,1.5008552490523497,-1.2582982229103106,-0.8105813236546088,0.8819344435587827,-0.7401569530908254,-0.40869377837987336,-0.40804472610791886,-0.40946876640188634,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,2.450711738240974,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-07,165.0,0,0,1028.2,18.7,-3.3,0.0,True,False,False,False,False,False,False,True,False,False,False,-1.4991458467185772,-1.2582982229103106,1.4970655290724133,0.17443497206210926,-1.526109645392336,-0.40869377837987336,2.450711738240974,-0.40946876640188634,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-08,176.0,1,0,1016.5,12.2,1.2,0.5,False,True,False,False,False,False,False,True,False,False,False,-0.9991456640900893,-1.2582982229103106,0.029703128153601918,-0.8950409732235598,-1.0545380300114298,-0.34532116450858064,-0.40804472610791886,2.4421887138969653,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-09,98.0,2,0,994.8,25.2,4.4,3.3,False,False,True,False,False,False,False,True,False,False,False,-0.49914548146160154,-1.2582982229103106,-2.691815170986411,1.2439109173477783,-0.7191982146294518,0.009565473170658355,-0.40804472610791886,-0.40946876640188634,2.450711738240974,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
2019-01-10,105.0,3,0,1000.2,25.9,2.1,0.0,False,False,False,True,False,False,False,True,False,False,False,0.0008547011668863009,-1.2582982229103106,-2.0145709859469507,1.359085249917004,-0.9602237069352484,-0.40869377837987336,-0.40804472610791886,-0.40946876640188634,-0.40804472610791886,2.450711738240974,-0.40804472610791886,-0.40804472610791886,-0.40804472610791886,1.5954480704349312,-0.5753764163378751,-0.5556301217669586,-0.5516772843673704
