,Total_Delays,Day_of_Week,Season,Pressure,Wind_Speed,Average_Temperature,Precipitation,Is_Monday,Is_Tuesday,Is_Wednesday,Is_Thursday,Is_Friday,Is_Saturday,Is_Sunday,Is_Winter,Is_Spring,Is_Summer,Is_Autumn,S_Day_of_Week,S_Season,S_Pressure,S_Wind_Speed,S_Average_Temperature,S_Precipitation,S_Is_Monday,S_Is_Tuesday,S_Is_Wednesday,S_Is_Thursday,S_Is_Friday,S_Is_Saturday,S_Is_Sunday,S_Is_Winter,S_Is_Spring,S_Is_Summer,S_Is_Autumn
2019-01-01,39.0,1,0,1006.7,25.6,8.4,9.7,False,True,False,False,False,False,False,True,False,False,False,-1.0,-1.3396892588895704,-1.201256061027442,1.3366578301516363,-0.3840832330008114,0.891277801010405,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-02,88.0,2,0,1024.8,15.1,0.8,0.0,False,False,True,False,False,False,False,True,False,False,False,-0.5,-1.3396892588895704,1.118130885958315,-0.42458852795913216,-1.1820114183104238,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-03,127.0,3,0,1013.4,16.9,3.1,0.5,False,False,False,True,False,False,False,True,False,False,False,0.0,-1.3396892588895704,-0.34269846186697284,-0.12266058085442923,-0.9405331517035675,-0.33286698538802123,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-04,101.0,4,0,1012.1,18.0,4.6,0.0,False,False,False,False,True,False,False,True,False,False,False,0.5,-1.3396892588895704,-0.5092842646891493,0.061850942376222906,-0.7830473256556177,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-05,53.0,5,0,1002.7,14.8,5.0,13.5,False,False,False,False,False,True,False,True,False,False,False,1.0,-1.3396892588895704,-1.713827762018772,-0.47490985247658246,-0.7410511053761644,1.3969028214793202,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-06,67.0,6,0,1009.8,23.0,4.2,0.0,False,False,False,False,False,False,True,True,False,False,False,1.5,-1.3396892588895704,-0.8040129927591728,0.9005396843337315,-0.8250435459350709,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-07,165.0,0,0,1028.2,18.7,-3.3,0.0,True,False,False,False,False,False,False,True,False,False,False,-1.5,-1.3396892588895704,1.5538168318009573,0.17926736625027398,-1.6124726761748203,-0.39939659334445743,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-08,176.0,1,0,1016.5,12.2,1.2,0.5,False,True,False,False,False,False,False,True,False,False,False,-1.0,-1.3396892588895704,0.0545446064013109,-0.9110279982944872,-1.1400151980309707,-0.33286698538802123,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-09,98.0,2,0,994.8,25.2,4.4,3.3,False,False,True,False,False,False,False,True,False,False,False,-0.5,-1.3396892588895704,-2.7261568714766606,1.2695627307950352,-0.8040454357953443,0.03969881916802155,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-10,105.0,3,0,1000.2,25.9,2.1,0.0,False,False,False,True,False,False,False,True,False,False,False,0.0,-1.3396892588895704,-2.0341850751383537,1.3869791546690862,-1.0455237024022008,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-11,120.0,4,0,1017.5,29.2,-2.9,0.0,False,False,False,False,True,False,False,True,False,False,False,0.5,-1.3396892588895704,0.18268753164914342,1.940513724361042,-1.5704764558953668,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-12,50.0,5,0,1030.7,23.8,-6.4,0.0,False,False,False,False,False,True,False,True,False,False,False,1.0,-1.3396892588895704,1.8741741449205387,1.034729883046933,-1.9379433833405832,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,-0.40824829046386296,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
2019-01-13,54.0,6,0,1030.6,13.3,-5.7,0.0,False,False,False,False,False,False,True,True,False,False,False,1.5,-1.3396892588895704,1.861359852395738,-0.7265164750638351,-1.8644499978515399,-0.39939659334445743,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,-0.40824829046386296,2.4494897427831783,1.746858652414428,-0.6162572204983123,-0.6139470652834281,-0.5065362251294778
