task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,MultilayerPerceptron,target metric + scaled day of week OHE + scaled season OHE,5,34357.353542824,"{'hidden_layer_sizes': (28, 37), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0005719749611687574, 'learning_rate_init': 0.0016973326564203818, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2131092329,
gse,MultilayerPerceptron,target metric + day of week + weather,25,32666.559237930807,"{'hidden_layer_sizes': (26, 27), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001138442399313799, 'learning_rate_init': 0.005704094815986901, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1428579428,
gse,MultilayerPerceptron,target metric + day of week OHE + weather,3,32823.882987213714,"{'hidden_layer_sizes': (27, 13), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0013614322945407573, 'learning_rate_init': 0.0025089871693955174, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2631869880,
gse,MultilayerPerceptron,target metric + scaled day of week + scaled weather,2,33929.58576941319,"{'hidden_layer_sizes': (57,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.002676206992455306, 'learning_rate_init': 0.004518861900184612, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3651286292,
gse,MultilayerPerceptron,target metric + scaled day of week OHE + scaled weather,24,33120.72208914168,"{'hidden_layer_sizes': (66,), 'activation': 'relu', 'solver': 'adam', 'alpha': 1.3096957614479645e-06, 'learning_rate_init': 0.0018128983703007222, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3568356800,
gse,MultilayerPerceptron,target metric + season + weather,12,31841.006052033797,"{'hidden_layer_sizes': (11, 22), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.002002085442404732, 'learning_rate_init': 0.003528422077089313, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3360682467,
gse,MultilayerPerceptron,target metric + season OHE + weather,2,32271.344047817453,"{'hidden_layer_sizes': (48,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.004804623163650565, 'learning_rate_init': 0.019482707317875533, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",239232348,
gse,MultilayerPerceptron,target metric + scaled season + scaled weather,14,31576.049697928334,"{'hidden_layer_sizes': (31, 37), 'activation': 'relu', 'solver': 'adam', 'alpha': 3.171279013830191e-05, 'learning_rate_init': 0.048686631279053746, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1107604711,
gse,MultilayerPerceptron,target metric + scaled season OHE + scaled weather,27,32711.129760111333,"{'hidden_layer_sizes': (17, 14), 'activation': 'relu', 'solver': 'adam', 'alpha': 2.826962780008456e-06, 'learning_rate_init': 0.04840524895313961, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",1351275816,
delay,MultilayerPerceptron,target metric,20,28.569768974909667,"{'hidden_layer_sizes': (66,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.009443089035074672, 'learning_rate_init': 0.006715439651125191, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3285742499,
delay,MultilayerPerceptron,target metric + day of week + season + weather,26,31.384217916081433,"{'hidden_layer_sizes': (48, 48), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.00030905951668066265, 'learning_rate_init': 0.009603591093502518, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",965167926,
delay,MultilayerPerceptron,target metric + day of week OHE + season OHE + weather,16,22.96629607856186,"{'hidden_layer_sizes': (47,), 'activation': 'relu', 'solver': 'adam', 'alpha': 6.0572507003943725e-06, 'learning_rate_init': 0.053274485730248386, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",3290919793,
delay,MultilayerPerceptron,target metric + scaled day of week + scaled season + scaled weather,11,24.055301075949394,"{'hidden_layer_sizes': (30, 32), 'activation': 'relu', 'solver': 'adam', 'alpha': 8.195702997557413e-05, 'learning_rate_init': 0.03192736199238298, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2706681274,
delay,MultilayerPerceptron,target metric + scaled day of week OHE + scaled season OHE + scaled weather,11,21.197530764009908,"{'hidden_layer_sizes': (66,), 'activation': 'relu', 'solver': 'adam', 'alpha': 3.4021563768224715e-06, 'learning_rate_init': 0.019537400669933536, 'learning_rate': 'constant', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",4124192919,
delay,MultilayerPerceptron,target metric + day of week,3,23.737292248924046,"{'hidden_layer_sizes': (43,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0002059121479394421, 'learning_rate_init': 0.024723549668631786, 'learning_rate': 'adaptive', 'batch_size': 'auto', 'max_iter': 50, 'early_stopping': False}",2814322665,
