task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,GradientBoost,target metric + scaled day of week + scaled weather,15,32555.342766428752,"{'min_samples_split': 11, 'min_samples_leaf': 26, 'n_estimators': 593, 'learning_rate': 0.03746922680381943, 'max_depth': 5, 'subsample': 0.5111664263710276, 'max_features': 0.47499876728993756, 'loss': 'huber'}",3329086389,
gse,GradientBoost,target metric + scaled day of week OHE + scaled weather,24,35303.31693258088,"{'min_samples_split': 2, 'min_samples_leaf': 12, 'n_estimators': 52, 'learning_rate': 0.06917032137919633, 'max_depth': 5, 'subsample': 1.0, 'max_features': 0.6843785259700335, 'loss': 'squared_error'}",2414085872,
gse,GradientBoost,target metric + season + weather,17,53056.03387916515,"{'min_samples_split': 2, 'min_samples_leaf': 4, 'n_estimators': 79, 'learning_rate': 0.080702063959431, 'max_depth': 5, 'subsample': 0.7159155906076322, 'max_features': 1.0, 'loss': 'huber'}",1212884603,
gse,GradientBoost,target metric + season OHE + weather,10,58517.38041079233,"{'min_samples_split': 2, 'min_samples_leaf': 8, 'n_estimators': 281, 'learning_rate': 0.03915679628608529, 'max_depth': 4, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'squared_error'}",2845953843,
gse,GradientBoost,target metric + scaled season + scaled weather,16,58526.137760937294,"{'min_samples_split': 2, 'min_samples_leaf': 10, 'n_estimators': 986, 'learning_rate': 0.01595765859216822, 'max_depth': 5, 'subsample': 0.7431705598400162, 'max_features': 0.5881019689340325, 'loss': 'squared_error'}",1907878970,
gse,GradientBoost,target metric + scaled season OHE + scaled weather,18,60590.77534301208,"{'min_samples_split': 41, 'min_samples_leaf': 27, 'n_estimators': 13, 'learning_rate': 0.2304879365682954, 'max_depth': 4, 'subsample': 0.6312215670462689, 'max_features': 0.5970789440440742, 'loss': 'squared_error'}",1518327075,
delay,GradientBoost,target metric,0,28.294424989689446,"{'min_samples_split': 2, 'min_samples_leaf': 25, 'n_estimators': 477, 'learning_rate': 0.027707597881681437, 'max_depth': 4, 'subsample': 0.6889140128744901, 'max_features': 'sqrt', 'loss': 'squared_error'}",747283441,
delay,GradientBoost,target metric + day of week + season + weather,1,19.91667258002402,"{'min_samples_split': 22, 'min_samples_leaf': 1, 'n_estimators': 16, 'learning_rate': 0.10896789226669386, 'max_depth': 4, 'subsample': 1.0, 'max_features': 0.30121124792230797, 'loss': 'huber'}",1419688610,
delay,GradientBoost,target metric + day of week OHE + season OHE + weather,6,20.58567372600376,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 88, 'learning_rate': 0.030931019361204605, 'max_depth': 5, 'subsample': 0.7896891775550973, 'max_features': 'log2', 'loss': 'squared_error'}",2287855555,
delay,GradientBoost,target metric + scaled day of week + scaled season + scaled weather,29,20.586218837611824,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 305, 'learning_rate': 0.011853236665770277, 'max_depth': 4, 'subsample': 1.0, 'max_features': 'log2', 'loss': 'squared_error'}",2179957335,
delay,GradientBoost,target metric + scaled day of week OHE + scaled season OHE + scaled weather,8,20.455677286984116,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 192, 'learning_rate': 0.010872990712103146, 'max_depth': 5, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'huber'}",1637965161,
delay,GradientBoost,target metric + day of week,30,20.16982650257513,"{'min_samples_split': 2, 'min_samples_leaf': 19, 'n_estimators': 104, 'learning_rate': 0.026117622264751738, 'max_depth': 4, 'subsample': 1.0, 'max_features': 'log2', 'loss': 'huber'}",3145560172,
delay,GradientBoost,target metric + day of week OHE,20,20.49022226150433,"{'min_samples_split': 24, 'min_samples_leaf': 16, 'n_estimators': 989, 'learning_rate': 0.01555424525636809, 'max_depth': 2, 'subsample': 0.9275643765428938, 'max_features': 'log2', 'loss': 'squared_error'}",1387390564,
delay,GradientBoost,target metric + scaled day of week,23,20.10553955984076,"{'min_samples_split': 24, 'min_samples_leaf': 14, 'n_estimators': 18, 'learning_rate': 0.18761992823586549, 'max_depth': 4, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'squared_error'}",4123356006,
delay,GradientBoost,target metric + scaled day of week OHE,11,20.416666173119765,"{'min_samples_split': 2, 'min_samples_leaf': 7, 'n_estimators': 319, 'learning_rate': 0.04285357459497488, 'max_depth': 2, 'subsample': 1.0, 'max_features': 0.5531925892135559, 'loss': 'huber'}",1757481932,
delay,GradientBoost,target metric + season,6,28.774187603769533,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 288, 'learning_rate': 0.05682544046052727, 'max_depth': 5, 'subsample': 1.0, 'max_features': 'sqrt', 'loss': 'huber'}",3226488749,
delay,GradientBoost,target metric + season OHE,7,28.944040525373143,"{'min_samples_split': 49, 'min_samples_leaf': 8, 'n_estimators': 450, 'learning_rate': 0.034267703765561375, 'max_depth': 3, 'subsample': 0.5781750251242247, 'max_features': 0.7594092651159874, 'loss': 'huber'}",2104490922,
delay,GradientBoost,target metric + scaled season,7,29.6844013847521,"{'min_samples_split': 13, 'min_samples_leaf': 1, 'n_estimators': 449, 'learning_rate': 0.012147048788940308, 'max_depth': 4, 'subsample': 0.9428306181234973, 'max_features': 0.5306341441207503, 'loss': 'huber'}",1909093173,
delay,GradientBoost,target metric + scaled season OHE,3,28.576679755030057,"{'min_samples_split': 8, 'min_samples_leaf': 13, 'n_estimators': 208, 'learning_rate': 0.09702700861213584, 'max_depth': 5, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'huber'}",424346025,
delay,GradientBoost,target metric + weather,5,31.688620607918697,"{'min_samples_split': 11, 'min_samples_leaf': 1, 'n_estimators': 535, 'learning_rate': 0.05239651039705222, 'max_depth': 4, 'subsample': 1.0, 'max_features': 'log2', 'loss': 'squared_error'}",3013235523,
delay,GradientBoost,target metric + scaled weather,6,31.65430283145578,"{'min_samples_split': 2, 'min_samples_leaf': 12, 'n_estimators': 30, 'learning_rate': 0.18377978105864656, 'max_depth': 4, 'subsample': 1.0, 'max_features': 1.0, 'loss': 'huber'}",200393062,
delay,GradientBoost,target metric + day of week + season,29,19.809545088308216,"{'min_samples_split': 2, 'min_samples_leaf': 12, 'n_estimators': 185, 'learning_rate': 0.012284188032893098, 'max_depth': 5, 'subsample': 0.8110188591423, 'max_features': 'sqrt', 'loss': 'huber'}",3675386750,
