task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,Poisson,target metric + day of week + season + weather,23,144743.68250348145,{'alpha': 0.00011617226157942111},3616898811,,False
gse,Poisson,target metric + day of week + season + weather,24,144743.68250348145,{'alpha': 0.7506253126744595},288389785,,False
gse,Poisson,target metric + day of week + season + weather,25,144743.68250348145,{'alpha': 7.197841261958765},501961019,,False
gse,Poisson,target metric + day of week + season + weather,26,144743.68250348145,{'alpha': 6.430880759715851},231750429,,False
gse,Poisson,target metric + day of week + season + weather,27,144743.68250348145,{'alpha': 0.0056492793961470745},2977577291,,False
gse,Poisson,target metric + day of week + season + weather,28,144743.68250348145,{'alpha': 0.010802890835347393},3009463240,,False
gse,Poisson,target metric + day of week + season + weather,29,144743.68250348145,{'alpha': 0.16756841857624172},694828624,,False
gse,Poisson,target metric + day of week + season + weather,30,144743.68250348145,{'alpha': 5.51321840277972},1394750138,,False
gse,Poisson,target metric + day of week + season + weather,31,144743.68250348145,{'alpha': 3.4903842020143157},536734203,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,0,144743.68250348145,{'alpha': 1.9253846099895455},2344120409,,True
gse,Poisson,target metric + day of week OHE + season OHE + weather,1,144743.68250348145,{'alpha': 1846.7931699765331},1187574588,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,2,144743.68250348145,{'alpha': 0.1450179212851276},3328552995,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,3,144743.68250348145,{'alpha': 0.09454353912093978},2120935250,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,4,144743.68250348145,{'alpha': 0.04479364690869058},330104925,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,5,144743.68250348145,{'alpha': 0.6756907875875647},2696569450,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,6,144743.68250348145,{'alpha': 0.5720408706001755},252169603,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,7,144743.68250348145,{'alpha': 0.030182505075539243},842803807,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,8,144743.68250348145,{'alpha': 0.03144127492409821},3206711753,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,9,144743.68250348145,{'alpha': 5642.472777677259},1723369128,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,10,144743.68250348145,{'alpha': 0.0011903497095368382},2318557551,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,11,144743.68250348145,{'alpha': 0.004468819697124889},3587373875,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,12,144743.68250348145,{'alpha': 0.00010671761464897296},3013625001,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,13,144743.68250348145,{'alpha': 1488.9620708179314},2074176493,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,14,144743.68250348145,{'alpha': 0.005746849559328309},1957955533,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,15,144743.68250348145,{'alpha': 1.7683340395063747},224731638,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,16,144743.68250348145,{'alpha': 4166.081239412084},1956467650,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,17,144743.68250348145,{'alpha': 2.2947489582768013},898539779,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,18,144743.68250348145,{'alpha': 505.96523860349447},1357528637,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,19,144743.68250348145,{'alpha': 0.07090889091593577},73366106,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,20,144743.68250348145,{'alpha': 0.0013054932369411657},840123197,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,21,144743.68250348145,{'alpha': 0.002714313347551568},2704013075,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,22,144743.68250348145,{'alpha': 1519.1094957227717},1042141510,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,23,144743.68250348145,{'alpha': 0.017937489066348823},2484146262,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,24,144743.68250348145,{'alpha': 0.21257884928796328},3558303545,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,25,144743.68250348145,{'alpha': 0.017214673520680783},3524085745,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,26,144743.68250348145,{'alpha': 31.0334545141552},614873188,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,27,144743.68250348145,{'alpha': 380.97467351461114},1485592822,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,28,144743.68250348145,{'alpha': 0.005765375466918594},3373987986,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,29,144743.68250348145,{'alpha': 0.6655132759665072},875264559,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,30,144743.68250348145,{'alpha': 0.0010085267851301309},1058449753,,False
gse,Poisson,target metric + day of week OHE + season OHE + weather,31,144743.68250348145,{'alpha': 3.0930462556506853},3406114919,,False
gse,Poisson,target metric + scaled day of week + scaled season + scaled weather,0,144743.68250348145,{'alpha': 1.5558128644775946},985237719,,True
gse,Poisson,target metric + scaled day of week + scaled season + scaled weather,1,144743.68250348145,{'alpha': 0.0009354916443502133},721924692,,False
