task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,RandomForest,target metric + scaled day of week OHE + scaled weather,21,31782.83098933436,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 611, 'max_depth': None, 'max_features': 0.5864008163887513, 'bootstrap': True, 'max_samples': None}",1080674249,
gse,RandomForest,target metric + season + weather,22,51471.56671078657,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 551, 'max_depth': 21, 'max_features': 0.5354735391300061, 'bootstrap': True, 'max_samples': None}",551109558,
gse,RandomForest,target metric + season OHE + weather,44,48993.74316846227,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 71, 'max_depth': None, 'max_features': 0.6675919239814287, 'bootstrap': True, 'max_samples': None}",3540719921,
gse,RandomForest,target metric + scaled season + scaled weather,68,51264.2081126371,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 455, 'max_depth': 24, 'max_features': 0.7039146156626428, 'bootstrap': True, 'max_samples': None}",913136362,
gse,RandomForest,target metric + scaled season OHE + scaled weather,82,48563.99406945213,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 82, 'max_depth': None, 'max_features': 0.6885909055532031, 'bootstrap': True, 'max_samples': None}",2733976723,
delay,RandomForest,target metric,34,27.846430637558637,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 90, 'max_depth': 20, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",2656683893,
delay,RandomForest,target metric + day of week + season + weather,3,20.382706943063653,"{'min_samples_split': 37, 'min_samples_leaf': 1, 'n_estimators': 203, 'max_depth': 46, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",1054610910,
delay,RandomForest,target metric + day of week OHE + season OHE + weather,60,20.017698811261944,"{'min_samples_split': 42, 'min_samples_leaf': 1, 'n_estimators': 229, 'max_depth': 11, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",1797397784,
delay,RandomForest,target metric + scaled day of week + scaled season + scaled weather,29,20.108078983344797,"{'min_samples_split': 3, 'min_samples_leaf': 30, 'n_estimators': 84, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",978232732,
delay,RandomForest,target metric + scaled day of week OHE + scaled season OHE + scaled weather,60,20.127105424385128,"{'min_samples_split': 47, 'min_samples_leaf': 1, 'n_estimators': 317, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",1638797035,
