,Model,Data,RMSE
125,RandomForest,Weather Data Improvement,2.753272027632619
126,Linear,No Additional Data,47.554825739894156
127,Linear,Any Data,31.918636762972998
128,Linear,Any Data Improvement,32.880341234861945
129,Linear,Day of Week Data Improvement,32.880341234861945
130,Linear,Season Data Improvement,-0.49675196427556045
131,Linear,Weather Data Improvement,0.3055947973193014
132,Ridge,No Additional Data,47.554828059950395
133,Ridge,Any Data,31.91984574523688
134,Ridge,Any Data Improvement,32.87780221811157
135,Ridge,Day of Week Data Improvement,32.87780221811157
136,Ridge,Season Data Improvement,-0.4530630411716601
137,Ridge,Weather Data Improvement,0.3134508323410472
138,Lasso,No Additional Data,47.56115933986948
139,Lasso,Any Data,32.77131055943865
140,Lasso,Any Data Improvement,31.096485001013875
141,Lasso,Day of Week Data Improvement,30.846946175245606
142,Lasso,Season Data Improvement,0.10882080769077618
143,Lasso,Weather Data Improvement,0.5148531615049023
144,GradientBoost,No Additional Data,41.98648243036102
145,GradientBoost,Any Data,31.594111114556537
146,GradientBoost,Any Data Improvement,24.751707488335853
147,GradientBoost,Day of Week Data Improvement,24.751707488335853
148,GradientBoost,Season Data Improvement,-1.4298059005442951
149,GradientBoost,Weather Data Improvement,-4.919855191900297
150,SupportVector,No Additional Data,47.36301236215303
151,SupportVector,Any Data,47.36301236215303
152,SupportVector,Any Data Improvement,0.0
153,SupportVector,Day of Week Data Improvement,-2.5952955605475125
154,SupportVector,Season Data Improvement,-2.7989498556099193
155,SupportVector,Weather Data Improvement,-4.217393545158444
156,MultilayerPerceptron,No Additional Data,42.86885276729856
157,MultilayerPerceptron,Any Data,31.41433578855054
158,MultilayerPerceptron,Any Data Improvement,26.71990557089461
159,MultilayerPerceptron,Day of Week Data Improvement,26.094727769593035
160,MultilayerPerceptron,Season Data Improvement,-0.370488038597216
161,MultilayerPerceptron,Weather Data Improvement,-0.7985938189530088
162,kNearestNeighbor,No Additional Data,48.09670097186396
163,kNearestNeighbor,Any Data,46.61305633914811
164,kNearestNeighbor,Any Data Improvement,3.084711846627002
165,kNearestNeighbor,Day of Week Data Improvement,2.052054867048227
166,kNearestNeighbor,Season Data Improvement,0.03252778272970147
167,kNearestNeighbor,Weather Data Improvement,2.8203206368567493
168,MovingAverage,No Additional Data,58.408457979352924
169,MovingAverage,Any Data,58.408457979352924
170,MovingAverage,Any Data Improvement,0.0
171,MovingAverage,Day of Week Data Improvement,0.0
172,MovingAverage,Season Data Improvement,0.0
173,MovingAverage,Weather Data Improvement,0.0
174,Poisson,No Additional Data,51.62821477667814
175,Poisson,Any Data,32.50001953131777
176,Poisson,Any Data Improvement,37.04988702030638
177,Poisson,Day of Week Data Improvement,37.04988702030638
178,Poisson,Season Data Improvement,1.339837087821138
179,Poisson,Weather Data Improvement,-0.4699334978935781
180,RandomForest,No Additional Data,38.359178965956104
181,RandomForest,Any Data,34.21547849574822
182,RandomForest,Any Data Improvement,10.80237007649572
183,RandomForest,Day of Week Data Improvement,10.80237007649572
184,RandomForest,Season Data Improvement,-0.5981853436556435
185,RandomForest,Weather Data Improvement,-2.127996528510195
186,Linear,No Additional Data,46.25686932649986
187,Linear,Any Data,33.95287032640442
188,Linear,Any Data Improvement,26.599290395657334
189,Linear,Day of Week Data Improvement,26.599290395657334
190,Linear,Season Data Improvement,0.25977119215269795
191,Linear,Weather Data Improvement,-0.5481946317928674
192,Ridge,No Additional Data,46.25687266204945
193,Ridge,Any Data,33.953478440505116
194,Ridge,Any Data Improvement,26.597981042584436
195,Ridge,Day of Week Data Improvement,26.597981042584436
196,Ridge,Season Data Improvement,0.32351342550271056
197,Ridge,Weather Data Improvement,-0.5483039252082449
198,Lasso,No Additional Data,46.27094088706079
199,Lasso,Any Data,34.42614158492277
200,Lasso,Any Data Improvement,25.598786355023748
201,Lasso,Day of Week Data Improvement,25.43318545360613
202,Lasso,Season Data Improvement,0.1319992288879348
203,Lasso,Weather Data Improvement,-0.04178270775602755
204,GradientBoost,No Additional Data,40.221390345683524
205,GradientBoost,Any Data,33.87390823991675
206,GradientBoost,Any Data Improvement,15.78135924992452
207,GradientBoost,Day of Week Data Improvement,15.78135924992452
208,GradientBoost,Season Data Improvement,0.22565738998255824
209,GradientBoost,Weather Data Improvement,-1.0852833674049691
210,SupportVector,No Additional Data,44.89736048273095
211,SupportVector,Any Data,44.89736048273095
212,SupportVector,Any Data Improvement,0.0
213,SupportVector,Day of Week Data Improvement,-3.381340790667707
214,SupportVector,Season Data Improvement,-3.553184126650052
215,SupportVector,Weather Data Improvement,-6.059270194266375
216,MultilayerPerceptron,No Additional Data,38.28367914296434
217,MultilayerPerceptron,Any Data,33.292964515044346
218,MultilayerPerceptron,Any Data Improvement,13.03614161346134
219,MultilayerPerceptron,Day of Week Data Improvement,12.814204409677643
220,MultilayerPerceptron,Season Data Improvement,-1.2639362739648163
221,MultilayerPerceptron,Weather Data Improvement,-7.176186483848696
222,kNearestNeighbor,No Additional Data,42.66039926739429
223,kNearestNeighbor,Any Data,42.079226188176804
224,kNearestNeighbor,Any Data Improvement,1.3623245192214597
225,kNearestNeighbor,Day of Week Data Improvement,1.3623245192214597
226,kNearestNeighbor,Season Data Improvement,-0.05970991188053176
227,kNearestNeighbor,Weather Data Improvement,0.12280771035537441
228,MovingAverage,No Additional Data,53.774716378429616
229,MovingAverage,Any Data,53.774716378429616
230,MovingAverage,Any Data Improvement,-1.4210854715202004e-14
231,MovingAverage,Day of Week Data Improvement,-1.4210854715202004e-14
232,MovingAverage,Season Data Improvement,-1.4210854715202004e-14
233,MovingAverage,Weather Data Improvement,-1.4210854715202004e-14
234,Poisson,No Additional Data,49.84748936465069
235,Poisson,Any Data,36.63198349346341
236,Poisson,Any Data Improvement,26.51187861140113
237,Poisson,Day of Week Data Improvement,26.51187861140113
238,Poisson,Season Data Improvement,0.5072720445275252
239,Poisson,Weather Data Improvement,-1.7418093954523357
240,RandomForest,No Additional Data,39.51968519526858
241,RandomForest,Any Data,32.31943689038926
242,RandomForest,Any Data Improvement,18.21939691397479
243,RandomForest,Day of Week Data Improvement,13.437689182452772
244,RandomForest,Season Data Improvement,1.0334415618325181
245,RandomForest,Weather Data Improvement,0.3357258682068789
246,Linear,No Additional Data,44.802633410558116
247,Linear,Any Data,32.59720166405769
248,Linear,Any Data Improvement,27.242665926918733
249,Linear,Day of Week Data Improvement,27.242665926918733
250,Linear,Season Data Improvement,-0.0978137655912974
251,Linear,Weather Data Improvement,-2.7363564457205314
252,Ridge,No Additional Data,44.802636221118625
253,Ridge,Any Data,32.59776584517249
254,Ridge,Any Data Improvement,27.24141123238887
255,Ridge,Day of Week Data Improvement,27.24141123238887
256,Ridge,Season Data Improvement,-0.08521811759196396
257,Ridge,Weather Data Improvement,-2.704565826704723
258,Lasso,No Additional Data,44.81299226517621
259,Lasso,Any Data,32.703156477880846
260,Lasso,Any Data Improvement,27.023046610314864
261,Lasso,Day of Week Data Improvement,26.726944550959814
262,Lasso,Season Data Improvement,0.5976049576435116
263,Lasso,Weather Data Improvement,-0.4643720638039497
264,GradientBoost,No Additional Data,39.209358588485436
265,GradientBoost,Any Data,32.735530190174124
266,GradientBoost,Any Data Improvement,16.51092655265336
267,GradientBoost,Day of Week Data Improvement,15.672587630028886
268,GradientBoost,Season Data Improvement,0.3903984237980893
269,GradientBoost,Weather Data Improvement,-7.724313511103162
270,SupportVector,No Additional Data,43.740282966536505
271,SupportVector,Any Data,43.740282966536505
272,SupportVector,Any Data Improvement,0.0
273,SupportVector,Day of Week Data Improvement,-3.822208326629621
274,SupportVector,Season Data Improvement,-4.011793075234294
275,SupportVector,Weather Data Improvement,-5.798358603602665
