task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
delay,kNearestNeighbor,target metric + season OHE,5,27.703671804106023,"{'n_neighbors': 17, 'weights': 'distance', 'p': 1}",1309803712,
delay,kNearestNeighbor,target metric + scaled season,8,27.353354563476532,"{'n_neighbors': 28, 'weights': 'distance', 'p': 2}",2094122395,
delay,kNearestNeighbor,target metric + scaled season OHE,22,27.25961012970631,"{'n_neighbors': 27, 'weights': 'distance', 'p': 2}",1862491625,
delay,kNearestNeighbor,target metric + weather,10,29.387449002525436,"{'n_neighbors': 17, 'weights': 'distance', 'p': 2}",3997139280,
delay,kNearestNeighbor,target metric + scaled weather,22,27.4642437996076,"{'n_neighbors': 22, 'weights': 'distance', 'p': 2}",4096107624,
delay,kNearestNeighbor,target metric + day of week + season,7,26.16889614537398,"{'n_neighbors': 10, 'weights': 'distance', 'p': 1}",2906898922,
delay,kNearestNeighbor,target metric + day of week OHE + season OHE,10,25.796308315060553,"{'n_neighbors': 31, 'weights': 'distance', 'p': 1}",3088972560,
delay,kNearestNeighbor,target metric + scaled day of week + scaled season,24,26.611699851674043,"{'n_neighbors': 19, 'weights': 'uniform', 'p': 1}",3832726579,
delay,kNearestNeighbor,target metric + scaled day of week OHE + scaled season OHE,4,23.013528301054695,"{'n_neighbors': 19, 'weights': 'distance', 'p': 1}",3574346006,
delay,kNearestNeighbor,target metric + day of week + weather,11,28.401551284575735,"{'n_neighbors': 15, 'weights': 'distance', 'p': 1}",1265988191,
delay,kNearestNeighbor,target metric + day of week OHE + weather,30,28.853114976959883,"{'n_neighbors': 16, 'weights': 'distance', 'p': 1}",594168862,
delay,kNearestNeighbor,target metric + scaled day of week + scaled weather,15,26.541064616318387,"{'n_neighbors': 28, 'weights': 'distance', 'p': 1}",3416825204,
delay,kNearestNeighbor,target metric + scaled day of week OHE + scaled weather,13,23.43704544832406,"{'n_neighbors': 19, 'weights': 'uniform', 'p': 1}",2912739024,
delay,kNearestNeighbor,target metric + season + weather,23,29.314451080026245,"{'n_neighbors': 43, 'weights': 'distance', 'p': 2}",1074500501,
delay,kNearestNeighbor,target metric + season OHE + weather,11,29.7479539996335,"{'n_neighbors': 29, 'weights': 'uniform', 'p': 2}",3950876934,
delay,kNearestNeighbor,target metric + scaled season + scaled weather,20,27.519722536816914,"{'n_neighbors': 24, 'weights': 'distance', 'p': 2}",495073042,
delay,kNearestNeighbor,target metric + scaled season OHE + scaled weather,25,27.304115224247123,"{'n_neighbors': 27, 'weights': 'distance', 'p': 2}",3924442672,
