task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
gse,RandomForest,target metric + scaled season OHE + scaled weather,22,49227.98835812001,"{'min_samples_split': 15, 'min_samples_leaf': 1, 'n_estimators': 11, 'max_depth': None, 'max_features': 0.5257639455894028, 'bootstrap': True, 'max_samples': None}",2222919459,
delay,RandomForest,target metric,26,28.30804673555982,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 320, 'max_depth': 56, 'max_features': 0.4043249894182408, 'bootstrap': True, 'max_samples': None}",140385779,
delay,RandomForest,target metric + day of week + season + weather,3,20.382706943063653,"{'min_samples_split': 37, 'min_samples_leaf': 1, 'n_estimators': 203, 'max_depth': 46, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",1054610910,
delay,RandomForest,target metric + day of week OHE + season OHE + weather,4,20.337077167372684,"{'min_samples_split': 38, 'min_samples_leaf': 1, 'n_estimators': 237, 'max_depth': 10, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",528114516,
delay,RandomForest,target metric + scaled day of week + scaled season + scaled weather,29,20.108078983344793,"{'min_samples_split': 3, 'min_samples_leaf': 30, 'n_estimators': 84, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",978232732,
delay,RandomForest,target metric + scaled day of week OHE + scaled season OHE + scaled weather,27,20.139640646836476,"{'min_samples_split': 34, 'min_samples_leaf': 1, 'n_estimators': 429, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",2446502114,
delay,RandomForest,target metric + day of week,8,19.94141668701021,"{'min_samples_split': 2, 'min_samples_leaf': 14, 'n_estimators': 34, 'max_depth': None, 'max_features': 0.4112575930927603, 'bootstrap': True, 'max_samples': None}",1051183403,
delay,RandomForest,target metric + day of week OHE,31,20.043384528278317,"{'min_samples_split': 35, 'min_samples_leaf': 13, 'n_estimators': 259, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",2240896731,
delay,RandomForest,target metric + scaled day of week,3,19.996054963065752,"{'min_samples_split': 2, 'min_samples_leaf': 18, 'n_estimators': 19, 'max_depth': None, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",1537256379,
delay,RandomForest,target metric + scaled day of week OHE,13,20.14936277015127,"{'min_samples_split': 2, 'min_samples_leaf': 16, 'n_estimators': 286, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",1270292570,
delay,RandomForest,target metric + season,22,28.76648218122626,"{'min_samples_split': 17, 'min_samples_leaf': 1, 'n_estimators': 255, 'max_depth': 15, 'max_features': 0.7067120832072344, 'bootstrap': True, 'max_samples': None}",1072689141,
delay,RandomForest,target metric + season OHE,0,28.866042957951286,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 819, 'max_depth': 9, 'max_features': 1.0, 'bootstrap': True, 'max_samples': None}",3674369108,
delay,RandomForest,target metric + scaled season,16,28.39159922854445,"{'min_samples_split': 14, 'min_samples_leaf': 1, 'n_estimators': 335, 'max_depth': None, 'max_features': 0.6671711367835024, 'bootstrap': True, 'max_samples': None}",3375194809,
delay,RandomForest,target metric + scaled season OHE,0,28.67423769217716,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 41, 'max_depth': None, 'max_features': 0.4734329078851246, 'bootstrap': True, 'max_samples': None}",140784437,
delay,RandomForest,target metric + weather,3,31.310859977309548,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 159, 'max_depth': 9, 'max_features': 1.0, 'bootstrap': True, 'max_samples': None}",1757070186,
delay,RandomForest,target metric + scaled weather,1,31.018232085272516,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 199, 'max_depth': None, 'max_features': 0.707032248784577, 'bootstrap': True, 'max_samples': None}",4157573120,
delay,RandomForest,target metric + day of week + season,12,19.985929554165644,"{'min_samples_split': 19, 'min_samples_leaf': 29, 'n_estimators': 818, 'max_depth': 58, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",555642077,
delay,RandomForest,target metric + day of week OHE + season OHE,19,20.0139573468385,"{'min_samples_split': 48, 'min_samples_leaf': 20, 'n_estimators': 320, 'max_depth': None, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",609939234,
delay,RandomForest,target metric + scaled day of week + scaled season,20,20.033842496988843,"{'min_samples_split': 22, 'min_samples_leaf': 28, 'n_estimators': 643, 'max_depth': 21, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",2035122181,
delay,RandomForest,target metric + scaled day of week OHE + scaled season OHE,12,19.98782050726112,"{'min_samples_split': 2, 'min_samples_leaf': 10, 'n_estimators': 599, 'max_depth': 23, 'max_features': 'sqrt', 'bootstrap': True, 'max_samples': None}",936715916,
delay,RandomForest,target metric + day of week + weather,15,20.651312542897504,"{'min_samples_split': 47, 'min_samples_leaf': 27, 'n_estimators': 78, 'max_depth': 75, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",726265419,
delay,RandomForest,target metric + day of week OHE + weather,11,20.31727623840304,"{'min_samples_split': 34, 'min_samples_leaf': 21, 'n_estimators': 527, 'max_depth': None, 'max_features': 'log2', 'bootstrap': True, 'max_samples': None}",3562516589,
delay,RandomForest,target metric + scaled day of week + scaled weather,6,20.564265680863286,"{'min_samples_split': 2, 'min_samples_leaf': 28, 'n_estimators': 51, 'max_depth': 50, 'max_features': 'log2', 'bootstrap': False, 'max_samples': None}",877151356,
delay,RandomForest,target metric + scaled day of week OHE + scaled weather,29,20.412977472352214,"{'min_samples_split': 2, 'min_samples_leaf': 30, 'n_estimators': 321, 'max_depth': None, 'max_features': 'log2', 'bootstrap': False, 'max_samples': None}",3994504071,
delay,RandomForest,target metric + season + weather,17,31.057226282800766,"{'min_samples_split': 16, 'min_samples_leaf': 1, 'n_estimators': 203, 'max_depth': None, 'max_features': 1.0, 'bootstrap': True, 'max_samples': None}",3107960260,
delay,RandomForest,target metric + season OHE + weather,1,31.157757103818586,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 746, 'max_depth': None, 'max_features': 0.6510519419978189, 'bootstrap': True, 'max_samples': None}",2089694725,
delay,RandomForest,target metric + scaled season + scaled weather,31,31.25939358841056,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 608, 'max_depth': 27, 'max_features': 1.0, 'bootstrap': True, 'max_samples': None}",2027749989,
delay,RandomForest,target metric + scaled season OHE + scaled weather,11,31.51337398289798,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'n_estimators': 220, 'max_depth': 11, 'max_features': 0.472594960415453, 'bootstrap': True, 'max_samples': None}",3163626740,
