task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error
delay,SupportVector,target metric + scaled season OHE,20,36.106095926140426,"{'C': 0.09096090517956336, 'epsilon': 7.926796564022122}",4067895971,
delay,SupportVector,target metric + weather,3,35.730237006108275,"{'C': 0.012757895642924828, 'epsilon': 0.001697964681257832}",1897944709,
delay,SupportVector,target metric + scaled weather,22,36.159045906766224,"{'C': 0.02037447726861835, 'epsilon': 0.0056523174226211365}",1591871023,
delay,SupportVector,target metric + day of week + season,28,27.33823137268806,"{'C': 0.39189898608432683, 'epsilon': 6.664721957463702}",2400936226,
delay,SupportVector,target metric + day of week OHE + season OHE,7,24.168141973882815,"{'C': 0.25262739802510215, 'epsilon': 1.2793387226352058}",1307125066,
delay,SupportVector,target metric + scaled day of week + scaled season,27,24.440186105950744,"{'C': 0.31692864129774545, 'epsilon': 0.0806249810776409}",463321191,
delay,SupportVector,target metric + scaled day of week OHE + scaled season OHE,20,23.281187794957205,"{'C': 0.1221693451413537, 'epsilon': 3.70416511413943}",1405596154,
delay,SupportVector,target metric + day of week + weather,8,30.316374800624125,"{'C': 0.012019289662272793, 'epsilon': 1.1046624506203973}",1117137505,
delay,SupportVector,target metric + day of week OHE + weather,30,33.39237170832217,"{'C': 11.416570769526215, 'epsilon': 0.0018721062765055068}",2253351631,
delay,SupportVector,target metric + scaled day of week + scaled weather,12,25.677826049980304,"{'C': 0.24614808898238863, 'epsilon': 6.419105709806874}",3023563048,
delay,SupportVector,target metric + scaled day of week OHE + scaled weather,7,23.042700575351837,"{'C': 0.19203277071221025, 'epsilon': 3.780284145446391}",1187517017,
delay,SupportVector,target metric + season + weather,27,36.310337152086944,"{'C': 0.6566516929472128, 'epsilon': 3.465858476390635}",2648803125,
delay,SupportVector,target metric + season OHE + weather,27,35.938574893113966,"{'C': 0.10057059838130795, 'epsilon': 8.138447169214343}",1408067880,
delay,SupportVector,target metric + scaled season + scaled weather,11,36.164872646526305,"{'C': 0.04813314849317743, 'epsilon': 0.09597814933641252}",2997118638,
delay,SupportVector,target metric + scaled season OHE + scaled weather,31,36.15676646374808,"{'C': 0.042615042866763896, 'epsilon': 0.15002659865808357}",3128075610,
