task,model,feature_set,candidate_index,validation_rmse,params,random_seed,error,selected
gse,kNearestNeighbor,target metric + day of week + season + weather,8,41749.63249922171,"{'n_neighbors': 21, 'weights': 'uniform', 'p': 1}",3175463346,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,9,43268.648496355934,"{'n_neighbors': 1, 'weights': 'distance', 'p': 2}",1951510742,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,10,45254.76024307091,"{'n_neighbors': 1, 'weights': 'distance', 'p': 1}",3907145560,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,11,36780.57922973381,"{'n_neighbors': 9, 'weights': 'distance', 'p': 2}",1489440764,,True
gse,kNearestNeighbor,target metric + day of week + season + weather,12,38400.1193559153,"{'n_neighbors': 15, 'weights': 'uniform', 'p': 2}",621320462,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,13,38240.83063355209,"{'n_neighbors': 16, 'weights': 'distance', 'p': 1}",2321282047,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,14,48800.262128769136,"{'n_neighbors': 65, 'weights': 'distance', 'p': 2}",3189283047,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,15,37893.032243762274,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 1}",138005056,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,16,41974.48235080842,"{'n_neighbors': 29, 'weights': 'distance', 'p': 1}",1592227889,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,17,37893.032243762274,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 1}",1287783354,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,18,43893.80022889231,"{'n_neighbors': 25, 'weights': 'uniform', 'p': 2}",2563641186,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,19,36901.45852149941,"{'n_neighbors': 7, 'weights': 'distance', 'p': 1}",962704404,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,20,41867.16390598194,"{'n_neighbors': 29, 'weights': 'distance', 'p': 2}",2068732904,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,21,53102.88469912492,"{'n_neighbors': 60, 'weights': 'uniform', 'p': 2}",1774811414,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,22,37007.63072462911,"{'n_neighbors': 9, 'weights': 'distance', 'p': 1}",1147895314,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,23,37881.784592255266,"{'n_neighbors': 15, 'weights': 'distance', 'p': 1}",84248196,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,24,38885.56714124195,"{'n_neighbors': 2, 'weights': 'distance', 'p': 2}",3250417863,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,25,42475.552513658666,"{'n_neighbors': 31, 'weights': 'distance', 'p': 2}",2711486938,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,26,37893.032243762274,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 1}",3606352453,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,27,43757.88784436543,"{'n_neighbors': 26, 'weights': 'uniform', 'p': 1}",3140279536,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,28,37495.62322773478,"{'n_neighbors': 13, 'weights': 'uniform', 'p': 2}",3277425516,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,29,37258.1370340099,"{'n_neighbors': 10, 'weights': 'uniform', 'p': 1}",2761249523,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,30,39883.28570786369,"{'n_neighbors': 22, 'weights': 'distance', 'p': 1}",3307079178,,False
gse,kNearestNeighbor,target metric + day of week + season + weather,31,41714.93867640692,"{'n_neighbors': 21, 'weights': 'uniform', 'p': 2}",262172189,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,0,55152.24038007929,"{'n_neighbors': 70, 'weights': 'uniform', 'p': 2}",216932769,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,1,43007.61203966091,"{'n_neighbors': 34, 'weights': 'distance', 'p': 2}",2502591698,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,2,37251.22249794651,"{'n_neighbors': 11, 'weights': 'uniform', 'p': 2}",1643471435,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,3,44121.15781455626,"{'n_neighbors': 39, 'weights': 'distance', 'p': 1}",3813627508,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,4,37088.15103961772,"{'n_neighbors': 7, 'weights': 'uniform', 'p': 1}",3653287896,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,5,43268.648496355934,"{'n_neighbors': 1, 'weights': 'distance', 'p': 2}",1542322446,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,6,36796.25729870566,"{'n_neighbors': 6, 'weights': 'distance', 'p': 1}",2718292316,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,7,39711.5446627575,"{'n_neighbors': 2, 'weights': 'distance', 'p': 1}",3100023166,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,8,54120.77815714115,"{'n_neighbors': 66, 'weights': 'uniform', 'p': 1}",1888666402,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,9,37039.211900802744,"{'n_neighbors': 8, 'weights': 'uniform', 'p': 1}",3789140155,,False
gse,kNearestNeighbor,target metric + day of week OHE + season OHE + weather,10,37332.59005306464,"{'n_neighbors': 4, 'weights': 'uniform', 'p': 2}",2044504179,,False
